Active Part Number,,Marketing Title,AMAZON PRICE
50851,,,8.99
50016,,,10.56
50852,,,11.99
50709,,,14.09
50080,,,14.09
50034,,,14.09
50017,,,14.09
50424,,,14.76
50853,,,15.99
50175,,,17.61
50085,,,17.61
50084,,,20.42
50411,,,21.13
50157,,,21.13
50683,,,24.48
50189,,,24.65
50211,,,25.35
50086,,,26.06
50706,,,28.03
50063,,,28.17
50061,,,28.17
50706,,,28.88
50819,,,30.99
50274,,,38.88
50023,,,41.55
50876,,,42.48
50854,,,44.00
50275,,,46.08
53420,,,48.09
51320,,,48.60
51318,,,48.60
50043,,,48.60
53420,,,50.77
50850,,,61.98
50069,,,62.68
50604,,,69.73
50601,,,69.73
50217,,,73.95
50112,,,78.48
51323,,,83.81
51317,,,83.81
51309,,,83.81
50973,,,107.28
50354,,,111.00
50153,,,111.98
50073,,,111.98
50428,,,115.20
50028,,,126.07
50014,,,126.07
50101,,,140.16
50913,,,151.20
50046,,,154.24
50377,,,161.28
50385,,,245.00
50240,,,245.80
50047,,,294.00
53405,,,441.09
53436,,,454.66
53557,,,506.09
53556,,,506.09
53555,,,506.09
53554,,,506.09
53553,,,506.09
53552,,,506.09
53551,,,506.09
53550,,,506.09
53549,,,506.09
53407,,,506.09
53406,,,506.09
53401,,,506.09
53062,,,506.09
53438,,,519.66
53437,,,519.66
53435,,,519.66
53434,,,519.66
53433,,,519.66
53432,,,519.66
53431,,,519.66
53430,,,519.66
53429,,,519.66
53428,,,519.66
53427,,,519.66
53426,,,519.66
"52,937.00",,,1136.88
"51,821.00",,,1788.22
"52,943.00",,,2447.28
"50,593.00",,,2534.78
53547,,,961.35
53541,,,1051.25
53534,,,1051.25
53531,,,1051.25
53530,,,1051.25
53529,,,936.70
53522,,,936.70
53519,,,936.70
53518,,,936.70
53517,,,846.80
53516,,,1051.25
53509,,,1051.25
53506,,,1051.25
53505,,,1051.25
53504,,,1051.25
53501,,,942.50
53495,,,942.50
53492,,,942.50
53491,,,942.50
53490,,,852.60
53474,,,967.15
53468,,,967.15
53465,,,967.15
53464,,,967.15
53463,,,877.98
53461,,,806.93
53455,,,806.93
53452,,,806.93
53451,,,806.93
53450,,,717.75
53382,,,875.08
53375,,,875.08
53372,,,875.08
53371,,,875.08
53370,,,833.75
53111,,,643.80
53045,,,19.58
53041,,,19.58
52952,,,118.18
52916,,,31.90
52914,,,31.90
52913,,,29.73
52911,,,40.60
51977,,,803.30
51976,,,803.30
51939,,,962.08
51937,,,28.28
51935,,,52.20
51917,,,50.75
51912,,,29.73
51911,,,21.03
51829,,,122.53
51817,,,1444.93
51801,,,1039.65
51728,,,1189.00
51726,,,1030.95
51610,,,849.70
51609,,,1279.63
51504,,,1813.95
51502,,,1372.43
51498,,,1097.65
51464,,,2304.78
51463,,,1275.28
51409,,,875.80
51362,,,1019.35
51358,,,1803.80
51355,,,1082.43
51353,,,34.08
51316,,,86.28
51313,,,133.40
51312,,,86.28
51308,,,78.30
51305,,,133.40
51304,,,86.28
51283,,,60.18
51281,,,29.73
51236,,,44.95
51234,,,21.75
51213,,,39.15
51211,,,19.58
51189,,,36.25
51146,,,674.25
51145,,,40.60
51144,,,30.45
51141,,,21.75
51140,,,28.28
51139,,,1019.35
51138,,,1019.35
51131,,,1019.35
51102,,,46.40
51097,,,1082.43
51096,,,1082.43
51089,,,1082.43
51088,,,674.25
51087,,,674.25
51080,,,674.25
51079,,,1803.80
51078,,,1803.80
51071,,,1803.80
51055,,,21.75
51054,,,17.40
51053,,,14.50
51052,,,21.75
51051,,,17.40
51050,,,14.50
51046,,,1756.68
51043,,,71.78
51042,,,60.18
51041,,,973.68
51033,,,997.60
51032,,,615.53
51002,,,1140.43
50997,,,28.28
50996,,,21.75
50995,,,19.58
50994,,,19.58
50975,,,29.73
50974,,,29.73
50953,,,131.95
50952,,,113.10
50951,,,102.95
50950,,,69.60
50917,,,29.73
50869,,,224.75
50831,,,58.00
50830,,,81.20
50829,,,21.75
50828,,,17.40
50827,,,14.50
50826,,,93.53
50821,,,68.15
50804,,,59.45
50779,,,48.58
50760,,,18.85
50745,,,134.13
50741,,,611.90
50729,,,1030.23
50712,,,108.75
50708,,,74.68
50707,,,56.55
50696,,,35.53
50680,,,41.33
50664,,,145.00
50653,,,23.93
50603,,,108.75
50602,,,97.15
50600,,,122.53
50592,,,1908.20
50591,,,1140.43
50576,,,50.75
50575,,,41.33
50574,,,36.25
50573,,,31.18
50571,,,36.25
50570,,,31.18
50569,,,28.28
50562,,,81.20
50558,,,96.43
50557,,,78.30
50539,,,43.50
50530,,,102.95
50519,,,100.05
50492,,,68.15
50486,,,97.15
50481,,,92.08
50451,,,55.10
50438,,,71.78
50433,,,71.78
50419,,,47.85
50408,,,60.18
50399,,,26.10
50391,,,120.35
50389,,,35.53
50384,,,52.20
50355,,,97.15
50351,,,108.75
50339,,,133.40
50315,,,182.70
50309,,,40.60
50307,,,21.75
50306,,,17.40
50304,,,14.50
50282,,,41.33
50276,,,86.28
50272,,,92.08
50252,,,643.80
50238,,,37.70
50216,,,105.13
50215,,,77.58
50206,,,86.28
50199,,,26.10
50193,,,312.48
50190,,,44.95
50180,,,26.10
50179,,,141.38
50176,,,48.58
50169,,,12.33
50160,,,86.28
50159,,,26.10
50152,,,116.00
50151,,,138.48
50147,,,108.75
50138,,,119.63
50127,,,255.93
50123,,,70.33
50116,,,59.45
50113,,,105.85
50109,,,60.90
50098,,,57.28
50093,,,171.10
50081,,,46.40
50078,,,44.95
50077,,,97.15
50074,,,97.15
50071,,,37.70
50068,,,81.20
50066,,,44.95
50065,,,122.53
50064,,,50.75
50060,,,50.75
50059,,,152.25
50058,,,47.85
50057,,,47.85
50056,,,44.95
50055,,,44.95
50054,,,44.95
50040,,,19.58
50039,,,126.88
50038,,,66.70
50032,,,44.95
50031,,,47.85
50030,,,35.53
50029,,,146.45
50027,,,122.53
50026,,,46.40
50018,,,134.13
50015,,,158.78
50012,,,92.08
50011,,,31.18
50008,,,15.23
50006,,,97.15
50005,,,108.03
50004,,,156.60
50001,,,713.40
