ObsPart,ActPart,MSRP
51007,53370,932.08
51169,53371,1032.08
51170,53372,1032.08
51171,53373,1032.08
51172,53374,1032.08
51173,53375,1032.08
51174,53376,1032.08
51175,53377,1032.08
51176,53378,1032.08
51177,53379,1032.08
51367,53380,1032.08
51368,53381,1032.08
51369,53382,1032.08
51351,53463,981.54
51370,53464,1081.54
51372,53465,1081.54
51373,53466,1081.54
51374,53467,1081.54
51375,53468,1081.54
51376,53469,1081.54
51377,53470,1081.54
51378,53471,1081.54
51379,53472,1081.54
51380,53473,1081.54
51371,53474,1081.54
51381,53475,1081.54
51142,53450,802.76
51178,53451,902.76
51179,53452,902.76
51180,53453,902.76
51181,53454,902.76
51182,53455,902.76
51183,53456,902.76
51184,53457,902.76
51185,53458,902.76
51186,53459,902.76
51364,53460,902.76
51365,53461,902.76
51366,53462,902.76
51352,53517,947.36
51424,53518,1047.36
51425,53519,1047.36
51426,53520,1047.36
51427,53521,1047.36
51428,53522,1047.36
51429,53523,1047.36
51430,53524,1047.36
51431,53525,1047.36
51432,53526,1047.36
51433,53527,1047.36
51434,53528,1047.36
51435,53529,1047.36
50924,53504,1075.24
51027,53490,1153.82
51801,51801,1162.8
53303,53503,1506.84
51296,53369,1535.84
51417,53562,947.36
51436,53547,1075.24
50773,50073,219
51063,51977,1147.54
53035,50001,798.08
53038,50004,191.4
53039,50004,191.4
53263,50004,191.4
53262,50004,191.4
53048,50014,245.92
53049,50014,245.92
53050,50018,149.64
53052,50023,76.56
53053,50026,54.52
53054,50026,54.52
53055,50027,136.88
53204,50027,136.88
53057,50028,245.92
53058,50028,245.92
53207,50059,170.52
53059,50065,136.88
53060,50065,136.88
53061,50069,121.8
53064,50069,121.8
53324,50071,41.76
53065,50071,41.76
53068,50071,41.76
53296,50074,109.04
53069,50074,109.04
53070,50077,109.04
53071,50081,54.52
53299,50081,54.52
53074,50093,191.4
53076,50093,191.4
53206,50093,191.4
53077,50098,67.28
53078,50098,67.28
53312,50112,149.64
53356,50138,141.52
53086,50145,68.44
53087,50145,68.44
53203,50147,121.8
53090,50147,121.8
53093,50152,129.92
53094,50163,40.6
53096,50163,40.6
53099,50174,56.84
53202,50176,54.52
53105,50176,54.52
53248,50176,54.52
53250,50176,54.52
53106,50176,54.52
53107,50179,167.04
53224,50179,167.04
53274,50206,96.28
53322,50206,96.28
53109,50252,719.8
53116,50339,163.56
53117,50355,109.04
53121,50384,58
53130,50433,80.04
53169,51731,1527.6
53089,50147,121.8
53051,50018,149.64
53137,50492,80.04
53088,50147,121.8
53095,50163,40.6
53066,50071,41.76
53067,50071,41.76
53104,50176,54.52
53082,50116,66.12
53063,50069,121.8
50114,50015,177.48
50136,50015,177.48
