Part,Width (Inches),Height (Inches),Depth (Inches),Weight (Pounds),LTL Threshold
50001,15,15.75,16.38,30,
50004,15.5,15.25,3.38,3.31,
50005,18,9.38,7.63,3.76,
50006,12,11.75,6.38,2.13,
50008,5,5.38,3.5,0.3,
50011,11,4.13,3.25,0.41,
50012,7.5,20.75,4.25,1.85,
50014,23.75,12,8,4.75,
50015,12.38,14.5,12.25,5.47,
50016,4,4.13,3.25,0.15,
50017,7.5,4.13,3.25,0.3,
50018,24,12,10.13,2.45,
50023,11.63,15.25,4.63,2.15,
50024,17.38,9.63,6.75,2.86,
50026,11.63,5.38,4.75,1,
50027,12.5,11.88,8.25,4.55,
50028,24,20,10.25,8.68,
50029,13,13,14,5.13,
50030,14,4.5,3.38,1.08,
50031,17,2.38,18.75,1.44,
50032,16.88,2.38,12.88,0.98,
50034,3.5,6.5,2.13,0.23,
50038,23.5,8,8.5,2.3,
50039,24,12,5.5,3.74,
50040,9.88,2.38,13.75,0.54,
50043,8.13,11,3.75,1.8,
50046,18,18,19,9.5,
50047,16.17,21,10.13,13,
50054,16.25,2.38,12.63,0.9,
50055,13,2.38,17,1,
50056,16.88,2.38,12.88,1.5,
50057,19,2.38,17.25,1.5,
50058,18.88,2.38,17.13,1.5,
50059,18,12.38,8.5,4.7,
50060,18.88,2.38,17.25,1.42,
50061,18.75,2.38,17.25,1.44,
50062,15.5,11,4.13,2.13,
50063,19,2.38,17.25,1.51,
50064,19.13,2.38,17.5,1.55,
50065,24,12,10.13,4.69,
50066,12.75,2.38,16.63,1.45,
50068,18,4.25,19,3.89,
50069,25.13,3.13,15.75,4.14,
50071,4.25,8.13,6.5,0.45,
50073,15,15,16,6.5,
50074,12,15.88,10.25,3.57,
50077,11.75,11.75,4.75,1.89,
50078,17.63,8,6.63,1.45,
50080,4.75,4.25,4.88,0.21,
50081,9,5.88,6.13,0.84,
50084,7.5,2.13,6.5,0.47,
50085,9,4.25,4.88,0.43,
50086,11,2.13,6.5,0.67,
50093,24,12,10.13,6.83,
50098,11.63,10.38,4.75,1.45,
50101,20,18.38,8.88,8,
50104,23.5,14.13,10,5.52,
50109,17.63,10.13,6.5,1.71,
50112,3.25,20.5,11.5,3.18,
50113,24,16,6.63,5.37,
50116,9,6,6,1.06,
50123,23.75,10.13,8.63,2.81,
50127,20,18.38,8.88,8,
50138,16,12,6.5,2.63,
50145,8.38,2.63,10,1.02,
50146,8.63,9.75,6.75,1.63,
50147,12,11.38,7.25,2.38,
50151,15,18,6,6.5,
50152,12,20.13,10.25,4.88,
50153,15,12.63,13.25,5.19,
50157,14.5,4.13,3.25,0.52,
50159,9.63,2.38,13.63,0.3,
50160,11.75,9.38,7.63,2.24,
50163,2.63,7,8.63,0.84,
50169,6.13,4.5,1.5,0.26,
50174,8.38,2.63,10,1.02,
50175,15.25,5.25,4.13,1,
50176,10.5,8.13,6.5,0.84,
50179,23.88,20,8.75,5.69,
50180,9.75,2.38,13.63,0.3,
50189,17.5,4.25,4.88,0.81,
50190,12.75,2.38,16.75,0.92,
50193,27,21,8,5.85,
50199,2.88,4.75,3.13,0.7,
50206,5.25,5.75,7.75,0.86,
50211,16.63,2.38,12.75,0.97,
50215,36,8,5.88,2.51,
50216,48.13,8,5.88,3.27,
50217,60,8,5.88,3.79,
50238,7.25,4.75,3.38,0.73,
50240,22,22,23,13.75,1
50262,24,17.75,11.88,8.79,
50272,25.13,3.13,15.75,2.95,
